房源编号,名称1,户型,月租,付款方式,租赁方式,面积,朝向,维护,楼层,车位,租期,入住,电梯,描述,地铁站,离地铁站距离,网站,名称,区,街道,小区
房源编号：SH2767516599916707840,整租·东庭人家,5室2厅,9000,(季付价),整租,195㎡,南,今天,低楼层/3层,租用车位,1年以内,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2767516599916707840.html,"
          整租·东庭人家 5室2厅 南        ",松江,松江新城,东庭人家
房源编号：SH2767410809092186112,整租·怒江小区,1室1厅,4500,(季付价),整租,41㎡,南,6天前,高楼层/6层,暂无数据,1年以内,随时入住,无,无信息,15号线 - 梅岭北路,772m,http://sh.lianjia.com/zufang/SH2767410809092186112.html,"
          整租·怒江小区 1室1厅 南        ",普陀,长风,怒江小区
房源编号：SH2767420242778136576,整租·高荣小区,2室2厅,9500,(季付价),整租,77㎡,南,今天,高楼层/24层,暂无数据,1年以内,随时入住,有,"【房源亮点】<br />
采光充足 配套齐全 交通便利 商超齐全 基础设施完备。。。.<br />
<br />
【交通出行】<br />
小区多轨交汇 2号线 11号线江苏路地铁站 13号线武宁路站<br />
<br />
【周边配套】<br />
步行可到悦达889广场 King88 盒马 元华超市 吃喝玩乐就在旁边方便<br />
<br />
",13号线 - 武宁路,883m,http://sh.lianjia.com/zufang/SH2767420242778136576.html,"
          整租·高荣小区 2室2厅 南        ",静安,曹家渡,高荣小区
房源编号：SH2745449952552419328,整租·青浦万达茂(公寓),2室1厅,3600,(季付价),整租,52㎡,北,今天,高楼层/18层,暂无数据,暂无数据,随时入住,有,无信息,17号线 - 淀山湖大道,7m,http://sh.lianjia.com/zufang/SH2745449952552419328.html,"
          整租·青浦万达茂(公寓) 2室1厅 北        ",青浦,盈浦,青浦万达茂(公寓)
房源编号：SH2744910729634390016,整租·阳光里(嘉定),2室2厅,2800,(季付价),整租,88㎡,南,1天前,高楼层/29层,暂无数据,2年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2744910729634390016.html,"
          整租·阳光里(嘉定) 2室2厅 南        ",嘉定,嘉定新城,阳光里(嘉定)
房源编号：SH2744882107544780800,整租·万科时一区（四期）,3室2厅,18000,(季付价),整租,114㎡,南,4天前,中楼层/11层,租用车位,暂无数据,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2744882107544780800.html,"
          整租·万科时一区（四期） 3室2厅 南        ",闵行,华漕,万科时一区（四期）
房源编号：SH2745534493699358720,整租·达安春之声,3室2厅,11800,(季付价),整租,129㎡,南,5天前,高楼层/17层,租用车位,3年以内,随时入住,有,无信息,"11号线(花桥-迪士尼),11号线(嘉定北-迪士尼),15号线 - 上海西站",728m,http://sh.lianjia.com/zufang/SH2745534493699358720.html,"
          整租·达安春之声 3室2厅 南        ",普陀,万里,达安春之声
房源编号：SH2745492369792581632,整租·信达蓝庭(别墅),3室2厅,2500,(季付价),整租,162㎡,南,1个月前,低楼层/3层,暂无数据,暂无数据,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2745492369792581632.html,"
          整租·信达蓝庭(别墅) 3室2厅 南        ",宝山,罗泾,信达蓝庭(别墅)
房源编号：SH2745033509562490880,整租·东宸源著,3室2厅,3500,(季付价),整租,92㎡,南 北,今天,低楼层/8层,暂无数据,1年以内,随时入住,无,"【户型介绍】<br />
三室两厅一厨两卫的格局，精装全配，看房方便，联系链家经纪人，诚心出租。<br />
<br />
【装修描述】<br />
开发商统一精装修的房子，从来都未住过，房子很新，通风采光好。<br />
<br />
【小区介绍】<br />
小区比较新，品质小区，物业管理和小区绿化都比较好，适宜居住，小区安保也很好。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2745033509562490880.html,"
          整租·东宸源著 3室2厅 南/北        ",浦东,临港新城,东宸源著
房源编号：SH2746398199098392576,整租·中远两湾城,2室2厅,11000,(季付价),整租,103㎡,南,3天前,高楼层/33层,租用车位,2年以内,随时入住,有,"【装修描述】<br />
房子精装修，风格简约，近地铁，视野开阔，采光一级棒，居住体验感非-常不错！！！<br />
<br />
【交通出行】<br />
内环内双轨交汇，1、3、4号线围绕小区，交通便利。中潭路地铁站下车就是小区！步行100米进入小区！ 公交：47、69、69路区间、76、78、105、117路、129、216、30<br />
<br />
【周边配套】<br />
小区里面有钱大妈，新鲜蔬菜店，小吃一条街：星巴克，川东大院。各大银行：招商银行、建设银行、交通银行；小区内有全家，罗森，喜士多，等多家24小时便利店；一兆韦德健身房，卡帕洗衣店，美甲店，水果店，复美药店等满足您日常需求<br />
<br />
【小区介绍】<br />
中远两湾城，沿苏州河而立，西区正对40000平方米的活水公园——梦清园，可欣赏公园及苏州河美景。此外，小区绿化覆盖率已达到罕见的50%，值得一提的是，雨过天晴高覆盖率的绿让小区化身天然氧吧，呼吸纯净的空气，舒适度很高<br />
<br />
","3号线,4号线,7号线 - 镇坪路",210m,http://sh.lianjia.com/zufang/SH2746398199098392576.html,"
          整租·中远两湾城 2室2厅 南        ",普陀,中远两湾城,中远两湾城
房源编号：SH2745675090695307264,整租·中心公馆,2室2厅,2500,(季付价),整租,55㎡,南,4天前,中楼层/25层,暂无数据,3年以内,随时入住,有,"【交通出行】<br />
旁边各路公交线路众多 有奉贤17路可以到奉浦大道公交站 奉贤3路到环城东路地铁站 有奉贤5路<br />
<br />
【周边配套】<br />
综合商场：华联超市，农工商，金叶商厦，大润发 江海农贸市场 奉贤店医院：奉贤人民医院邮局：南桥邮政局银行：上海银行，中国银行，中国工商银行，中国建设银行，中国农业银行，中国招商银行：悦华大酒店，圣淘沙<br />
<br />
【小区介绍】<br />
酒店式公寓 环境好 上下楼有刷卡的门禁 安全系数高<br />
<br />
",16号线 - 惠南,280m,http://sh.lianjia.com/zufang/SH2745675090695307264.html,"
          整租·中心公馆 2室2厅 南        ",奉贤,南桥,中心公馆
房源编号：SH2746382992850026496,整租·东安公寓,2室1厅,12800,(季付价),整租,78㎡,南,1天前,低楼层/33层,租用车位,3年以内,随时入住,有,"【户型介绍】<br />
主卧和次卧均朝南，采光时间长，面积差不多大的，全明户型，朝南，前方无遮挡，厨房卫生间也是朝南的窗户<br />
<br />
【装修描述】<br />
房子是首·次出租，现在厨房的油烟机，燃气灶。水斗全新安装，卫生间马桶和淋浴系统全新，房子是全屋的实木家具和柚木地板，品质放心安全，无甲醛，深呼吸入住<br />
<br />
【交通出行】<br />
小区靠·近7号线昌平路地铁站4号口，200米不到，出行方便，小区对·面就是公交站。昌平路西康路可乘坐113/328/765公交车，昌平路常德路可乘坐113/76号公交车。<br />
<br />
",7号线 - 昌平路,240m,http://sh.lianjia.com/zufang/SH2746382992850026496.html,"
          整租·东安公寓 2室1厅 南        ",静安,江宁路,东安公寓
房源编号：SH2746452799499018240,整租·嘉宝梦之缘景庭,3室1厅,5800,(季付价),整租,103㎡,南 北,8天前,低楼层/7层,暂无数据,暂无数据,随时入住,有,无信息,"11号线(花桥-迪士尼),11号线(嘉定北-迪士尼) - 嘉定新城",920m,http://sh.lianjia.com/zufang/SH2746452799499018240.html,"
          整租·嘉宝梦之缘景庭 3室1厅 南/北        ",嘉定,嘉定新城,嘉宝梦之缘景庭
房源编号：SH2746166264673345536,整租·曹杨三村(兰岭园),1室0厅,3500,(季付价),整租,26㎡,北,4天前,中楼层/5层,租用车位,2年以内,随时入住,无,无信息,15号线 - 梅岭北路,309m,http://sh.lianjia.com/zufang/SH2746166264673345536.html,"
          整租·曹杨三村(兰岭园) 1室0厅 北        ",普陀,曹杨,曹杨三村(兰岭园)
房源编号：SH2745763388696305664,整租·龙湖郦城,4室2厅,7500,(季付价),整租,114㎡,南 北,1天前,低楼层/29层,暂无数据,3年以上,随时入住,有,无信息,"11号线(花桥-迪士尼),11号线(嘉定北-迪士尼) - 嘉定新城",447m,http://sh.lianjia.com/zufang/SH2745763388696305664.html,"
          整租·龙湖郦城 4室2厅 南/北        ",嘉定,嘉定新城,龙湖郦城
房源编号：SH2746440563480854528,整租·君悦湾,4室2厅,13000,(季付价),整租,141㎡,南,8天前,低楼层/21层,租用车位,1年以内,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2746440563480854528.html,"
          整租·君悦湾 4室2厅 南        ",青浦,徐泾,君悦湾
房源编号：SH2746436029606002688,整租·海联大厦,2室1厅,9000,(季付价),整租,79㎡,南,6天前,高楼层/18层,暂无数据,1年以内,随时入住,有,"【房源亮点】<br />
朝南两房房，空间、采光都很充足，精致装修，布局合理，干净整洁，适宜居住<br />
<br />
【户型介绍】<br />
房源为全明户型，户型方方正正，南北通透，居住适宜，双南两房采光好<br />
<br />
【装修描述】<br />
房间装修干净整洁，厨房卫生间分离，干净清爽，有燃气灶可做饭，空调洗衣机配备齐全，拎包入住好房！<br />
<br />
【交通出行】<br />
交通便捷，近地铁6号线，门口多路公交，出行超级方便，上班生活都很便利。公交线路：774路、787路、791路、81路、85路、313路、799路、970路、971路等<br />
<br />
【出租原因】<br />
业主有了其他的房子，这个房子空置可惜所以拿出来出租。。。。。。。<br />
<br />
【周边配套】<br />
小区门口超市、小吃店、水果店等齐全，生活便利。距离源深体育馆1.6km；福山正达外国语2.2km，福山外国语1.8km，建平西校华城校区1.6km；医院公利医院，儿童医学浦滨儿童医院1.6km<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2746436029606002688.html,"
          整租·海联大厦 2室1厅 南        ",浦东,梅园,海联大厦
房源编号：SH2745797752193040384,整租·楼园小区,2室1厅,6000,(季付价),整租,61㎡,南,今天,高楼层/6层,暂无数据,3年以上,随时入住,无,"【房源亮点】<br />
小区位于植物园旁，总体环境和区位较好，配套成熟，房东也诚心出租，房子是精装修的，采光通风好，生活便利，交通方便，看中细节可沟通，生活气息浓郁,生活气息浓郁，精装大标间，舒适温馨的布局，家电齐全，阳光充足，干净卫生，小区环境优雅，闹中取静。<br />
<br />
【交通出行】<br />
小区交通便利，地铁1、3号线和15号线，小区华东理工门口设地铁出站口，无需过马路。该小区距离植物园只有五百米，是休闲游玩的好去处。得房率高，房间外立面和内部防水、防潮做的很好。<br />
<br />
【周边配套】<br />
该房所在位置繁华，有植物园，小区门口小超市多，距离好又多、沃尔玛等大型超市近。教育资源丰富，就有平安银行、建设银行、中国工商银行，小区边上有联华超市，洗衣店，大华医院，嘉陵菜市场，居家生活便利上下两层 水果蔬菜 家禽海鲜等很齐全。<br />
<br />
【小区介绍】<br />
楼园小区分两期开发：一期主要是动迁安置房，16幢，一房，二房，三房都有，1995年开发，二期为商品房，1998年开发，三幢，主力户型为二房，三房。楼间距和道路宽，采光好，得房率很高。小区位于百色路。配套设施相当成熟， 超市、银行、卖场。<br />
<br />
",15号线 - 华东理工大学,268m,http://sh.lianjia.com/zufang/SH2745797752193040384.html,"
          整租·楼园小区 2室1厅 南        ",徐汇,上海南站,楼园小区
房源编号：SH2745768453955919872,整租·金地自在城(二期),3室2厅,5800,(季付价),整租,94㎡,南,11天前,高楼层/18层,暂无数据,3年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2745768453955919872.html,"
          整租·金地自在城(二期) 3室2厅 南        ",松江,泗泾,金地自在城(二期)
房源编号：SH2749096589041090560,整租·金杨新村十街坊,1室1厅,4000,(季付价),整租,41㎡,南,2天前,中楼层/6层,暂无数据,1年以内,随时入住,无,"【装修描述】<br />
简装一房，户型好，家电齐全，小区配套设施完善，衣食住行都很方便<br />
<br />
【交通出行】<br />
位置6号线金桥路，9号线蓝天路站，14号线蓝天路站，三轨交汇，其他公交775路;961路;961路区间;申川专线、723路都比较方便<br />
<br />
【周边配套】<br />
生活：香山菜场、上蔬永辉，生鲜超市 餐饮：宁波海鲜酒楼 仁义火锅店 银行：中国储蓄银行 中国建设银行 中国银行。还有大型商 业体LMC旭辉置地广场、金桥国际广场，久金广场、金杨第 一商场。南边过马路有大型碧云体育公园，家乐福，上辉永蔬等。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2749096589041090560.html,"
          整租·金杨新村十街坊 1室1厅 南        ",浦东,金杨,金杨新村十街坊
房源编号：SH2748433863473897472,整租·雅致公寓(莘庄),3室1厅,7000,(季付价),整租,117㎡,西南,6天前,高楼层/24层,暂无数据,1年以内,随时入住,有,"【房源亮点】<br />
离地铁近，出门就是公交站台，出行方便，里莘光近，接送孩子方便，小区绿化好<br />
<br />
【户型介绍】<br />
房间朝向东南，两个主卧朝南，次卧朝北，餐厅与客厅相连，带阳台<br />
<br />
【装修描述】<br />
自住装修，装修风格复古居家，品牌家具，采光足，保养好，楼间距大无遮挡<br />
<br />
【交通出行】<br />
距离1号线和5号线莘庄地铁站600米，出门100米可以上沪昆高速，出门800米可以上外环高速；有多个公交线路<br />
<br />
【周边配套】<br />
旁边是闵行区法院，小区北面是莘光，上学十分方便，往西200米处是闵行区政府，水清路一条街超市，餐饮，菜市场，生活配套十分方便<br />
<br />
【小区介绍】<br />
小区是1998年竣工，物业地址为雅致路31弄，位置安静，小区自带花园，住户不多但自住率高。<br />
<br />
",1号线 - 外环路,998m,http://sh.lianjia.com/zufang/SH2748433863473897472.html,"
          整租·雅致公寓(莘庄) 3室1厅 西南        ",闵行,莘庄,雅致公寓(莘庄)
房源编号：SH2747909525183922176,整租·招商虹桥公馆,3室1厅,7800,(季付价),整租,92㎡,南 北,8天前,高楼层/20层,暂无数据,暂无数据,随时入住,无,无信息,17号线 - 徐盈路,113m,http://sh.lianjia.com/zufang/SH2747909525183922176.html,"
          整租·招商虹桥公馆 3室1厅 南/北        ",青浦,徐泾,招商虹桥公馆
房源编号：SH2746191782575882240,整租·锦绣华都,2室1厅,7000,(季付价),整租,90㎡,南 北,今天,低楼层/18层,暂无数据,暂无数据,2021/5/31,有,"【房源亮点】<br />
房子房龄很新，而且是电梯房，楼层又好，两房，而且采光真的很好<br />
<br />
【装修描述】<br />
房子中等装修，户型方正，采光和通风都很不错，前后遮挡后视野开阔<br />
<br />
【交通出行】<br />
三轨相交，11，18号线御桥站，步行很快就能到，16号线罗山路站，门口有公交站，可以直达陆家嘴也可以直达地铁站，到中环和外环很方便<br />
<br />
【出租原因】<br />
房东之前一直是出租的，这次六月份到期，想继续找合适的租客爱护房子<br />
<br />
【周边配套】<br />
小区东边就是菜市场，门口有健身会所,小区西边在建中环广场综合体，美食一条街，精品步行街，两公里范围内有万科2049综合体，东郊百联，复地万科活力城，宜家家居，红星美凯龙 生活还是很便利！<br />
<br />
【小区介绍】<br />
小区房龄2010年商品房小区，绿化45%，环境优美，绿树成荫，居住感受静谧舒适，很受年轻人喜欢 适合刚需婚房，亦或者改善居住品质的人群，近张江高科，近陆家嘴，上班人群<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2746191782575882240.html,"
          整租·锦绣华都 2室1厅 南/北        ",浦东,御桥,锦绣华都
房源编号：SH2748451115208286208,整租·华丽家园,3室2厅,8300,(季付价),整租,126㎡,南 北,3天前,中楼层/8层,暂无数据,3年以内,随时入住,有,"【房源亮点】<br />
电梯精装中等楼层，家具家电齐全，大三房，小区环境好<br />
<br />
【装修描述】<br />
居家精装修，实木家具，干净整洁无异味<br />
<br />
【交通出行】<br />
公交：143路，闵行30路，莘南专线，莘金专线，闵行41路，闵行6路，873,759路等等。均可到莘庄地铁站。712路到春申路地铁站。 地铁：1号线莘庄，5号线春申路地。<br />
<br />
【出租原因】<br />
租客搬走，房子空置，诚意出租，到价可签<br />
<br />
【周边配套】<br />
小区1千米有仲盛购物广场，闵行区图书馆，闵行区人民公园，上海市城市剧院，凯德龙之梦购物广场<br />
<br />
【小区介绍】<br />
该小区位于都市路腾冲路路口，小区满足日常生活需求，路上基本形成一条小吃街，步行可到达龙盛广场，好爱广场等大型商圈，满足大众型娱乐消费需求。<br />
<br />
",5号线 - 春申路,1126m,http://sh.lianjia.com/zufang/SH2748451115208286208.html,"
          整租·华丽家园 3室2厅 南/北        ",闵行,莘庄,华丽家园
房源编号：SH2746415511549255680,整租·东方豪园(公寓),2室1厅,5400,(季付价),整租,92㎡,南 北,1天前,中楼层/23层,暂无数据,1年以内,随时入住,有,"【房源亮点】<br />
开发商自带的精装修，南北通透，中 央空调，有地暖，有新风系统，中楼层，距离大融城100m。<br />
<br />
【户型介绍】<br />
房子是原始户型，格局没有变动。两梯三户的边套，南北通透的户型。另外带南北双阳台，主卧次卧都自带了飘窗。房型正气，住起来舒适。<br />
<br />
【周边配套】<br />
公园：育英街上有马陆公园，五公里左右有石岗门塘公园、远香湖公园和紫气东来公园。 医院：马陆社区医院，瑞金北院，妇幼保健院。 商场：大融城，万达广场，宝龙广场。 超市市：永辉，盒马生鲜，麦德龙。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2746415511549255680.html,"
          整租·东方豪园(公寓) 2室1厅 南/北        ",嘉定,嘉定新城,东方豪园(公寓)
房源编号：SH2746926572392161280,整租·诸新三村,1室1厅,3800,(季付价),整租,42㎡,南,1天前,中楼层/6层,暂无数据,3年以内,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2746926572392161280.html,"
          整租·诸新三村 1室1厅 南        ",闵行,华漕,诸新三村
房源编号：SH2747878544049700864,整租·阳光苑民耀路268弄,2室1厅,5200,(季付价),整租,84㎡,南,2天前,中楼层/6层,暂无数据,3年以内,随时入住,无,无信息,9号线 - 顾唐路,775m,http://sh.lianjia.com/zufang/SH2747878544049700864.html,"
          整租·阳光苑民耀路268弄 2室1厅 南        ",浦东,曹路,阳光苑民耀路268弄
房源编号：SH2749100808032763904,整租·中冶祥腾城市广场,2室1厅,4500,(季付价),整租,45㎡,南,7天前,中楼层/18层,暂无数据,暂无数据,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2749100808032763904.html,"
          整租·中冶祥腾城市广场 2室1厅 南        ",嘉定,南翔,中冶祥腾城市广场
房源编号：SH2746224723531661312,整租·地铁明珠苑,3室2厅,9600,(季付价),整租,128㎡,南,2天前,低楼层/15层,暂无数据,暂无数据,随时入住,有,"【房源亮点】<br />
房源靠 近地铁，位置优越，周 边配套成熟完善，户型方正，装修不错，舒适明亮，干净清爽<br />
<br />
【装修描述】<br />
居家装修风格，能满足大部分租户对装修的要求，家具家电全配，房东诚意，根据客户要求都还可以协商。<br />
<br />
【交通出行】<br />
小区距离地铁1号线和5号线莘庄站100米，小区门口有多条线路公交车，759，闵行1路，闵行6路，莘庄2路，173路，189路，708路，763路，莘庄3路。交通出行很方便。<br />
<br />
【出租原因】<br />
房东不在这边住了，也不想房子空着，想找一个有缘的租客帮忙维护房子的人气<br />
<br />
【周边配套】<br />
龙之梦800米，仲盛世界商城1000米，复旦大学附属医院900米，小区对门有家联华超市，肯德基100米，大型综合天空之城200米<br />
<br />
【小区介绍】<br />
小区是2001年房龄，3房2厅1卫，全明通透 格局，带南北大阳台，通风性好，两开间朝南，采光十足，厨卫全明，适宜一家老少居住，配套设施齐全，交通便利。<br />
<br />
",1号线 - 外环路,1072m,http://sh.lianjia.com/zufang/SH2746224723531661312.html,"
          整租·地铁明珠苑 3室2厅 南        ",闵行,莘庄,地铁明珠苑
房源编号：SH2749782169353461760,整租·万科天空之城三期星之屿,3室2厅,11000,(季付价),整租,100㎡,南,4天前,高楼层/14层,暂无数据,暂无数据,随时入住,无,无信息,17号线 - 徐盈路,21m,http://sh.lianjia.com/zufang/SH2749782169353461760.html,"
          整租·万科天空之城三期星之屿 3室2厅 南        ",青浦,徐泾,万科天空之城三期星之屿
房源编号：SH2745768138242539520,整租·葛洲坝玉兰花园,3室1厅,7000,(季付价),整租,110㎡,南,14天前,中楼层/11层,暂无数据,1年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2745768138242539520.html,"
          整租·葛洲坝玉兰花园 3室1厅 南        ",青浦,香花桥,葛洲坝玉兰花园
房源编号：SH2748433943760994304,整租·仁恒广场,3室2厅,12000,(季付价),整租,137㎡,南 西,1天前,中楼层/25层,暂无数据,3年以内,2021/6/1,有,"【房源亮点】<br />
小区交通便利，出门几百米就是4号线塘桥地铁站，门口多个公交站点， 房子虽是简装但是干净，简约不失大方，屋内家具家电齐全，家居环境优质。<br />
<br />
【装修描述】<br />
办公装修，可以自住，可以办公。诚意出租。小区位于浦东塘桥商圈 ，生活设施齐全，交通便利，适合居民生活<br />
<br />
【交通出行】<br />
此房近塘桥地铁四号线四号口，交通便利，浦东南路公交车居多，西边近滨江大道，江边<br />
<br />
【出租原因】<br />
房东在上海有多套房产，此房暂时不居住，所以拿出来出租的。。。。<br />
<br />
【周边配套】<br />
此房近塘桥地铁四号线四号口，交通便利，浦东南路公交车居多，西边近滨江大道，江边，近巴黎春天，周有中国工商银行，交通银行，肯德基麦当劳，南泉菜市场，沃尔玛生活超市，交通生活都很便利<br />
<br />
【小区介绍】<br />
小区位于浦东塘桥商圈 ，生活设施齐全，交通便利，适合居民生活<br />
<br />
",4号线 - 塘桥,679m,http://sh.lianjia.com/zufang/SH2748433943760994304.html,"
          整租·仁恒广场 3室2厅 南/西        ",浦东,塘桥,仁恒广场
房源编号：SH2749286985226264576,整租·浦江茗园,3室2厅,25800,(季付价),整租,145㎡,南,8天前,中楼层/11层,暂无数据,2年以内,2021/5/24,有,"【交通出行】<br />
地铁4号线浦东大道地铁站1000米， 交通很方便， 小区旁就是公交站点， 多条隧道通往浦西、南浦大桥<br />
<br />
【出租原因】<br />
业主用不到，开始起租，房子装修很的，视野也很好，希望找到优质客户，看房提前预约<br />
<br />
【周边配套】<br />
①出小区500米到黄浦江边，一线江景尽收眼底，百年外滩万国建筑群映入眼帘 ②地铁4号线100米 ③正大广场购物餐饮街伴随，环球，金茂，东方明珠四大景观建筑相伴<br />
<br />
",4号线 - 浦东大道,739m,http://sh.lianjia.com/zufang/SH2749286985226264576.html,"
          整租·浦江茗园 3室2厅 南        ",浦东,梅园,浦江茗园
房源编号：SH2756399035748728832,整租·金地艺境(宝山),3室2厅,6700,(季付价),整租,95㎡,南 北,1天前,高楼层/6层,暂无数据,1年以内,随时入住,有,"【交通出行】<br />
小区属于外环外，出行公交车为主，宝山19路，25路，185路，821路公交车。3公里范围内的地铁有7号线，15号线，11号线三线交汇，出行方便<br />
<br />
【周边配套】<br />
金地艺境小区南门有罗森，全家等便利店，百果园等水果店，小区门口有大超市和菜场，买东西便利，小区东门有个城市实验幼儿园，小区门口有公交车宝山19路，宝山25路，821路等，是公交总站，出行方便。<br />
<br />
【小区介绍】<br />
小区是2012年的次新小区，花园式洋房为主，高层为辅，严格的人车分流，24小时安保，绿化45%左右，生态环境优美宜居<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2756399035748728832.html,"
          整租·金地艺境(宝山) 3室2厅 南/北        ",宝山,上大,金地艺境(宝山)
房源编号：SH2756321869606436864,整租·金领国际(公寓),2室1厅,5509,(季付价),整租,89㎡,南 北,6天前,高楼层/11层,租用车位,1年以内,随时入住,有,"【交通出行】<br />
小区门口公交车有：636路 991路 993路 浦东32路 高川专线等交通路线。 小区到上海川沙客运站很便捷！ 地铁：轨道交通2号线唐镇站，12号线金海路站，9号线民雷路站。<br />
<br />
【周边配套】<br />
申客隆超市，恒生广场，乐客玛超市等，超市商场以及各大金融行业公司聚集，购物方便，生活便利。<br />
<br />
【小区介绍】<br />
小区是2009年《一期、二期》，2011年《三期》，2012年《四期》商品房，小区物业是：上海璟庐物业，物业费是一楼1.7元/平/月；二楼及以上是2.1元/平/月；开发商是天歌置业。小区植被众多，花园有美丽优雅的小河流，各种儿童老年人玩耍<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2756321869606436864.html,"
          整租·金领国际(公寓) 2室1厅 南/北        ",浦东,唐镇,金领国际(公寓)
房源编号：SH2756357477149704192,整租·翡翠名都,2室2厅,17500,(季付价),整租,86㎡,南,3天前,中楼层/27层,暂无数据,2年以内,随时入住,有,"【交通出行】<br />
小区出门即主干道古北路，距吴中路约300米，中环线约800米，延安高架约1.1 公里，自驾车出行都方便。 地铁15号线姚虹路558米，10号线，交通便利。<br />
<br />
【周边配套】<br />
小区属于闵行金虹桥板块，紧靠古北国际社区，人文气息浓厚，10号线水城路站，家乐福、古北高岛屋、古北1699生活配套齐，多条公交线路贯穿，生活很便利。<br />
<br />
【小区介绍】<br />
万科翡翠名都位于古北国际社区，东临古北路，西靠翠钰南路，北接红松东路，南面为吴中路，邻近桥高尔夫球场。<br />
<br />
","10号线(新江湾城-航中路),10号线(新江湾城-虹桥火车站) - 龙溪路",406m,http://sh.lianjia.com/zufang/SH2756357477149704192.html,"
          整租·翡翠名都 2室2厅 南        ",闵行,金虹桥,翡翠名都
房源编号：SH2756465658669056000,整租·普雄馨苑,1室1厅,5000,(季付价),整租,33㎡,南,9天前,中楼层/6层,租用车位,1年以内,2021/5/14,无,无信息,"3号线,4号线,11号线(花桥-迪士尼),11号线(嘉定北-迪士尼) - 曹杨路",622m,http://sh.lianjia.com/zufang/SH2756465658669056000.html,"
          整租·普雄馨苑 1室1厅 南        ",普陀,武宁,普雄馨苑
房源编号：SH2756558234146832384,整租·张江公馆,3室2厅,13000,(季付价),整租,145㎡,南,10天前,低楼层/27层,暂无数据,暂无数据,随时入住,有,"【交通出行】<br />
小区位于高科路，小区门口就是公交站，636，张江1路，609，浦东11路，615，直达地铁站2号线广兰路地铁。<br />
<br />
【周边配套】<br />
近都是创业园区，张衡公园 上海银行 农商银行 家乐福大型超市 家便利店 联华超市 益江菜场，休闲广场<br />
<br />
【小区介绍】<br />
小区安装有梯控，电梯刷卡，管理规范，安保良好，小区环境优美，干净 整洁。物业管理也很好， 小区安装有梯控，电梯刷卡，管理规范<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2756558234146832384.html,"
          整租·张江公馆 3室2厅 南        ",浦东,唐镇,张江公馆
房源编号：SH2757307274002169856,整租·金地格林世界(格林公馆),3室2厅,8350,(季付价),整租,127㎡,南,3天前,低楼层/18层,暂无数据,2年以内,随时入住,有,"【装修描述】<br />
本房是2011年金地开发商精装交付的房屋，装修品质有保障，适合直接拎包入住，家具家电都齐全。<br />
<br />
【交通出行】<br />
出小区步行200米到地铁11号线陈翔公路站（数据来源于百度地图），出小区开车2800米到沪嘉高速南翔入口（数据来源于百度地图），出小区开车3500米到嘉闵高架入口（数据来源于百度地图），到市区或者外地比较方便，自驾有沪嘉高速，嘉闵高架。<br />
<br />
【周边配套】<br />
出小区东门向左200米就是菁英湖风情公园，沿河有塑胶慢跑道，还有休闲健身设施。华润五彩城，星湖柒号都距楼盘较近，离印象城城较近。，平时休假之余足以满足您的吃喝玩乐一站式服务。<br />
<br />
【小区介绍】<br />
小区是金地集团在南翔这边的收官之作，高品质小区。小区自持物业管理严格，保障业主的隐私和安全。小区是半人车分流的小区，绿化高达45%，环境优美，邻里之间相处和谐。该小区位于芳林路951弄，有东、西两个大门，东大门出门是芳林路，西门是瑞林路。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2757307274002169856.html,"
          整租·金地格林世界(格林公馆) 3室2厅 南        ",嘉定,南翔,金地格林世界(格林公馆)
房源编号：SH2757272937416359936,整租·招商虹桥公馆,3室2厅,8500,(季付价),整租,88㎡,南,今天,中楼层/17层,暂无数据,3年以内,随时入住,无,无信息,17号线 - 徐盈路,113m,http://sh.lianjia.com/zufang/SH2757272937416359936.html,"
          整租·招商虹桥公馆 3室2厅 南        ",青浦,徐泾,招商虹桥公馆
